iter	Passed	Remaining
0	22	22215
1	39	19656
2	58	19294
3	78	19454
4	94	18769
5	118	19559
6	134	19119
7	152	18926
8	173	19156
9	200	19863
10	218	19663
11	236	19457
12	253	19237
13	279	19653
14	298	19585
15	321	19788
16	346	20053
17	365	19920
18	383	19800
19	402	19723
20	420	19593
21	437	19438
22	454	19325
23	472	19228
24	498	19452
25	529	19854
26	556	20068
27	574	19953
28	591	19799
29	613	19838
30	629	19691
31	655	19816
32	671	19687
33	688	19563
34	705	19454
35	723	19370
36	747	19446
37	764	19342
38	780	19229
39	804	19317
40	820	19199
41	838	19120
42	857	19090
43	883	19188
44	902	19152
45	920	19090
46	953	19329
47	970	19239
48	986	19140
49	1002	19047
50	1026	19095
51	1043	19018
52	1069	19108
53	1118	19594
54	1146	19705
55	1180	19905
56	1211	20048
57	1231	20001
58	1257	20061
59	1274	19973
60	1291	19880
61	1308	19789
62	1331	19803
63	1347	19703
64	1363	19610
65	1378	19509
66	1414	19694
67	1430	19608
68	1446	19514
69	1469	19521
70	1485	19440
71	1501	19357
72	1517	19273
73	1541	19286
74	1559	19231
75	1575	19159
76	1592	19084
77	1609	19020
78	1625	18952
79	1641	18881
80	1658	18812
81	1676	18768
82	1711	18910
83	1728	18853
84	1746	18802
85	1775	18869
86	1791	18800
87	1808	18738
88	1825	18682
89	1841	18624
90	1867	18652
91	1883	18587
92	1902	18558
93	1921	18516
94	1945	18529
95	1964	18497
96	1984	18476
97	2005	18460
98	2031	18484
99	2050	18454
100	2067	18398
101	2085	18363
102	2113	18403
103	2132	18372
104	2151	18337
105	2170	18308
106	2196	18327
107	2213	18283
108	2231	18238
109	2249	18203
110	2266	18151
111	2282	18100
112	2301	18065
113	2323	18056
114	2339	18007
115	2355	17953
116	2377	17940
117	2392	17885
118	2409	17839
119	2425	17786
120	2443	17747
121	2465	17741
122	2480	17687
123	2502	17676
124	2520	17644
125	2551	17700
126	2577	17716
127	2595	17680
128	2612	17636
129	2642	17685
130	2677	17758
131	2696	17731
132	2716	17711
133	2736	17684
134	2763	17703
135	2780	17661
136	2805	17672
137	2848	17791
138	2882	17855
139	2905	17846
140	2928	17839
141	2945	17796
142	2961	17751
143	2977	17699
144	3003	17711
145	3020	17666
146	3037	17626
147	3055	17590
148	3072	17549
149	3097	17551
150	3116	17520
151	3135	17495
152	3155	17466
153	3179	17465
154	3196	17426
155	3215	17398
156	3232	17357
157	3266	17406
158	3292	17413
159	3311	17382
160	3338	17396
161	3355	17355
162	3372	17316
163	3388	17273
164	3405	17235
165	3429	17232
166	3445	17188
167	3462	17145
168	3478	17105
169	3496	17071
170	3522	17079
171	3540	17045
172	3558	17008
173	3575	16971
174	3599	16966
175	3615	16927
176	3632	16889
177	3648	16850
178	3665	16809
179	3691	16816
180	3709	16786
181	3727	16753
182	3745	16721
183	3768	16713
184	3785	16676
185	3801	16636
186	3817	16598
187	3833	16558
188	3858	16557
189	3874	16519
190	3896	16503
191	3913	16470
192	3938	16469
193	3956	16437
194	3973	16403
195	3990	16368
196	4016	16371
197	4032	16334
198	4049	16300
199	4066	16265
200	4082	16228
201	4107	16226
202	4126	16200
203	4146	16180
204	4162	16142
205	4186	16134
206	4203	16102
207	4220	16069
208	4239	16045
209	4257	16015
210	4281	16008
211	4296	15971
212	4312	15935
213	4328	15898
214	4344	15862
215	4368	15855
216	4384	15822
217	4400	15785
218	4417	15751
219	4440	15744
220	4457	15712
221	4474	15681
222	4491	15648
223	4514	15638
224	4530	15605
225	4547	15572
226	4564	15542
227	4580	15510
228	4596	15476
229	4611	15440
230	4628	15408
231	4644	15375
232	4661	15343
233	4686	15341
234	4707	15323
235	4723	15290
236	4739	15258
237	4755	15224
238	4771	15193
239	4794	15182
240	4812	15156
241	4828	15123
242	4844	15092
243	4859	15057
244	4876	15028
245	4892	14994
246	4908	14962
247	4924	14930
248	4943	14908
249	4958	14876
250	4974	14845
251	4991	14815
252	5007	14784
253	5022	14752
254	5039	14722
255	5055	14691
256	5070	14659
257	5086	14627
258	5103	14601
259	5119	14571
260	5136	14542
261	5171	14567
262	5195	14558
263	5230	14583
264	5248	14558
265	5266	14532
266	5282	14501
267	5306	14493
268	5322	14464
269	5340	14439
270	5356	14408
271	5374	14384
272	5392	14359
273	5436	14405
274	5454	14380
275	5471	14352
276	5500	14357
277	5529	14359
278	5549	14340
279	5571	14326
280	5593	14312
281	5609	14283
282	5626	14255
283	5644	14229
284	5664	14211
285	5693	14213
286	5711	14189
287	5730	14167
288	5758	14167
289	5783	14159
290	5806	14146
291	5822	14117
292	5846	14107
293	5864	14082
294	5881	14055
295	5898	14028
296	5922	14018
297	5938	13989
298	5954	13960
299	5971	13933
300	5994	13920
301	6010	13891
302	6025	13860
303	6042	13833
304	6064	13820
305	6081	13791
306	6098	13765
307	6115	13739
308	6140	13732
309	6157	13705
310	6173	13677
311	6190	13650
312	6212	13636
313	6228	13607
314	6249	13590
315	6266	13563
316	6290	13552
317	6306	13524
318	6324	13501
319	6344	13481
320	6369	13472
321	6385	13444
322	6402	13420
323	6417	13390
324	6433	13361
325	6455	13346
326	6470	13317
327	6486	13289
328	6503	13262
329	6524	13246
330	6540	13220
331	6557	13193
332	6572	13164
333	6588	13136
334	6611	13124
335	6629	13101
336	6645	13074
337	6660	13045
338	6683	13032
339	6700	13006
340	6718	12982
341	6732	12953
342	6748	12927
343	6771	12912
344	6786	12885
345	6802	12858
346	6818	12831
347	6843	12821
348	6859	12795
349	6876	12770
350	6892	12743
351	6914	12728
352	6929	12701
353	6945	12674
354	6962	12649
355	6977	12622
356	7000	12608
357	7014	12579
358	7031	12554
359	7047	12529
360	7070	12515
361	7087	12490
362	7104	12466
363	7119	12440
364	7135	12413
365	7157	12398
366	7173	12372
367	7188	12345
368	7204	12319
369	7226	12303
370	7241	12276
371	7255	12248
372	7269	12220
373	7285	12194
374	7295	12158
375	7317	12143
376	7330	12114
377	7346	12088
378	7362	12063
379	7376	12036
380	7399	12021
381	7413	11993
382	7428	11967
383	7444	11942
384	7459	11915
385	7475	11890
386	7504	11886
387	7522	11865
388	7538	11840
389	7555	11818
390	7570	11790
391	7585	11765
392	7600	11739
393	7620	11721
394	7636	11695
395	7652	11671
396	7669	11649
397	7685	11625
398	7702	11601
399	7718	11578
400	7738	11559
401	7762	11546
402	7778	11522
403	7795	11500
404	7818	11486
405	7835	11464
406	7851	11440
407	7868	11417
408	7885	11394
409	7906	11377
410	7921	11352
411	7937	11328
412	7954	11306
413	7978	11293
414	7995	11270
415	8010	11245
416	8027	11222
417	8044	11200
418	8067	11186
419	8083	11162
420	8106	11148
421	8124	11127
422	8147	11113
423	8163	11090
424	8179	11066
425	8196	11044
426	8222	11033
427	8238	11009
428	8254	10986
429	8270	10963
430	8287	10941
431	8309	10924
432	8324	10900
433	8339	10876
434	8356	10853
435	8372	10830
436	8396	10816
437	8412	10794
438	8429	10771
439	8444	10748
440	8460	10723
441	8485	10711
442	8500	10688
443	8515	10663
444	8530	10638
445	8546	10615
446	8561	10591
447	8576	10567
448	8590	10541
449	8605	10518
450	8628	10503
451	8643	10479
452	8659	10455
453	8673	10430
454	8694	10413
455	8708	10389
456	8722	10363
457	8737	10340
458	8752	10316
459	8774	10300
460	8789	10276
461	8804	10253
462	8820	10230
463	8842	10214
464	8858	10192
465	8873	10168
466	8888	10145
467	8904	10122
468	8926	10106
469	8942	10083
470	8957	10060
471	8972	10037
472	8988	10014
473	9009	9998
474	9025	9975
475	9041	9953
476	9056	9929
477	9078	9914
478	9093	9891
479	9109	9868
480	9125	9845
481	9139	9822
482	9161	9806
483	9180	9787
484	9195	9764
485	9209	9740
486	9235	9728
487	9251	9706
488	9266	9682
489	9280	9659
490	9297	9638
491	9319	9622
492	9334	9599
493	9351	9578
494	9372	9561
495	9387	9538
496	9410	9523
497	9426	9502
498	9444	9481
499	9461	9461
500	9477	9439
501	9501	9425
502	9517	9404
503	9534	9383
504	9550	9361
505	9566	9340
506	9583	9318
507	9598	9296
508	9615	9275
509	9637	9259
510	9654	9238
511	9670	9217
512	9686	9195
513	9703	9174
514	9719	9153
515	9734	9131
516	9750	9108
517	9764	9085
518	9781	9065
519	9797	9044
520	9812	9021
521	9832	9004
522	9855	8988
523	9871	8967
524	9891	8949
525	9907	8927
526	9922	8906
527	9938	8884
528	9953	8862
529	9973	8844
530	9989	8822
531	10005	8801
532	10022	8781
533	10044	8765
534	10060	8743
535	10076	8723
536	10092	8701
537	10106	8679
538	10122	8657
539	10147	8644
540	10163	8622
541	10177	8600
542	10191	8577
543	10212	8560
544	10227	8538
545	10244	8518
546	10262	8498
547	10280	8479
548	10299	8461
549	10315	8440
550	10336	8423
551	10361	8409
552	10377	8387
553	10400	8372
554	10416	8351
555	10431	8330
556	10455	8315
557	10471	8294
558	10488	8274
559	10506	8255
560	10522	8234
561	10542	8216
562	10562	8198
563	10578	8177
564	10597	8159
565	10614	8139
566	10629	8117
567	10647	8097
568	10662	8076
569	10677	8055
570	10694	8035
571	10710	8014
572	10726	7993
573	10742	7972
574	10761	7954
575	10778	7934
576	10793	7913
577	10809	7892
578	10825	7871
579	10840	7850
580	10854	7828
581	10869	7806
582	10885	7785
583	10901	7765
584	10916	7744
585	10932	7723
586	10946	7701
587	10960	7679
588	10975	7658
589	10989	7636
590	11011	7620
591	11025	7598
592	11040	7577
593	11061	7560
594	11078	7540
595	11092	7518
596	11108	7498
597	11124	7478
598	11139	7457
599	11154	7436
600	11169	7415
601	11184	7394
602	11199	7373
603	11216	7353
604	11233	7334
605	11251	7315
606	11266	7294
607	11280	7272
608	11295	7252
609	11310	7231
610	11326	7211
611	11347	7194
612	11362	7173
613	11376	7151
614	11389	7129
615	11405	7109
616	11419	7088
617	11435	7068
618	11451	7048
619	11466	7027
620	11482	7007
621	11497	6987
622	11514	6967
623	11531	6948
624	11548	6929
625	11563	6908
626	11586	6892
627	11601	6872
628	11617	6852
629	11642	6837
630	11657	6817
631	11673	6797
632	11688	6776
633	11704	6756
634	11726	6740
635	11741	6720
636	11757	6700
637	11772	6679
638	11795	6663
639	11810	6643
640	11825	6623
641	11841	6603
642	11857	6583
643	11880	6567
644	11896	6547
645	11912	6527
646	11927	6507
647	11950	6491
648	11967	6472
649	11983	6452
650	11999	6432
651	12021	6416
652	12038	6397
653	12054	6377
654	12069	6357
655	12091	6340
656	12106	6320
657	12122	6300
658	12137	6280
659	12152	6260
660	12175	6244
661	12190	6224
662	12204	6203
663	12219	6183
664	12234	6163
665	12257	6147
666	12272	6127
667	12289	6108
668	12306	6088
669	12321	6068
670	12344	6052
671	12359	6032
672	12374	6012
673	12389	5992
674	12404	5972
675	12426	5955
676	12441	5935
677	12460	5917
678	12478	5899
679	12500	5882
680	12516	5863
681	12532	5843
682	12546	5823
683	12561	5803
684	12583	5786
685	12598	5766
686	12615	5747
687	12632	5728
688	12648	5709
689	12673	5693
690	12688	5673
691	12703	5653
692	12717	5633
693	12739	5617
694	12754	5597
695	12770	5577
696	12784	5557
697	12799	5537
698	12821	5521
699	12838	5502
700	12854	5482
701	12868	5462
702	12891	5446
703	12907	5427
704	12923	5407
705	12938	5387
706	12954	5368
707	12976	5351
708	12991	5332
709	13006	5312
710	13021	5292
711	13038	5273
712	13059	5256
713	13074	5237
714	13090	5217
715	13104	5198
716	13120	5178
717	13142	5161
718	13157	5142
719	13172	5122
720	13187	5103
721	13203	5083
722	13226	5067
723	13242	5048
724	13257	5028
725	13271	5008
726	13293	4991
727	13307	4971
728	13322	4952
729	13336	4932
730	13351	4913
731	13367	4894
732	13382	4874
733	13397	4855
734	13412	4835
735	13432	4818
736	13446	4798
737	13461	4779
738	13476	4759
739	13491	4740
740	13507	4721
741	13525	4702
742	13541	4684
743	13557	4664
744	13572	4645
745	13587	4626
746	13602	4607
747	13618	4588
748	13633	4568
749	13648	4549
750	13663	4530
751	13678	4510
752	13693	4491
753	13708	4472
754	13734	4456
755	13751	4438
756	13770	4420
757	13788	4402
758	13806	4383
759	13826	4366
760	13844	4347
761	13863	4329
762	13879	4311
763	13895	4292
764	13911	4273
765	13927	4254
766	13943	4235
767	13960	4217
768	13975	4198
769	13989	4178
770	14003	4159
771	14019	4140
772	14034	4121
773	14049	4102
774	14064	4083
775	14079	4064
776	14094	4045
777	14110	4026
778	14125	4007
779	14140	3988
780	14155	3969
781	14170	3950
782	14185	3931
783	14199	3912
784	14214	3893
785	14229	3874
786	14245	3855
787	14260	3836
788	14274	3817
789	14289	3798
790	14304	3779
791	14319	3760
792	14333	3741
793	14350	3723
794	14365	3704
795	14378	3685
796	14394	3666
797	14409	3647
798	14423	3628
799	14437	3609
800	14451	3590
801	14466	3571
802	14480	3552
803	14495	3533
804	14510	3515
805	14526	3496
806	14541	3477
807	14555	3458
808	14569	3439
809	14585	3421
810	14601	3402
811	14615	3383
812	14630	3365
813	14645	3346
814	14660	3327
815	14674	3308
816	14688	3290
817	14702	3271
818	14717	3252
819	14732	3233
820	14747	3215
821	14761	3196
822	14777	3178
823	14791	3159
824	14806	3140
825	14821	3122
826	14835	3103
827	14849	3084
828	14863	3065
829	14879	3047
830	14893	3028
831	14909	3010
832	14924	2992
833	14940	2973
834	14954	2955
835	14970	2936
836	14988	2918
837	15311	2959
838	15446	2964
839	15536	2959
840	15566	2943
841	15593	2926
842	15653	2915
843	15674	2897
844	15691	2878
845	15707	2859
846	15723	2840
847	15739	2821
848	15754	2801
849	15768	2782
850	15810	2768
851	15839	2751
852	15889	2738
853	15906	2719
854	15925	2700
855	15943	2682
856	15961	2663
857	15980	2644
858	15999	2626
859	16015	2607
860	16033	2588
861	16053	2570
862	16071	2551
863	16090	2532
864	16105	2513
865	16121	2494
866	16141	2476
867	16158	2457
868	16174	2438
869	16188	2418
870	16206	2400
871	16222	2381
872	16243	2362
873	16257	2343
874	16273	2324
875	16291	2306
876	16307	2287
877	16324	2268
878	16344	2249
879	16359	2230
880	16376	2212
881	16440	2199
882	16600	2199
883	16735	2196
884	16756	2177
885	16776	2158
886	16810	2141
887	16827	2122
888	16848	2103
889	16877	2085
890	16916	2069
891	16933	2050
892	16949	2030
893	16969	2012
894	17001	1994
895	17020	1975
896	17036	1956
897	17067	1938
898	17093	1920
899	17126	1902
900	17167	1886
901	17197	1868
902	17216	1849
903	17232	1830
904	17249	1810
905	17267	1791
906	17283	1772
907	17301	1753
908	17316	1733
909	17338	1714
910	17354	1695
911	17370	1676
912	17385	1656
913	17400	1637
914	17415	1617
915	17431	1598
916	17447	1579
917	17463	1559
918	17479	1540
919	17494	1521
920	17511	1502
921	17526	1482
922	17546	1463
923	17562	1444
924	17578	1425
925	17594	1406
926	17609	1386
927	17625	1367
928	17641	1348
929	17660	1329
930	17684	1310
931	17700	1291
932	17715	1272
933	17731	1252
934	17747	1233
935	17762	1214
936	17778	1195
937	17803	1176
938	17819	1157
939	17836	1138
940	17853	1119
941	17870	1100
942	17888	1081
943	17911	1062
944	17948	1044
945	17970	1025
946	17987	1006
947	18008	987
948	18029	968
